Date,Open,High,Low,Close,Adj Close,Volume
2017-02-17,157.619995,159.300003,157.389999,158.639999,155.767365,1207400
2017-02-21,158.639999,159.410004,157.960007,158.630005,155.757492,1242200
2017-02-22,158.339996,159.100006,157.690002,158.020004,155.158508,1283000
2017-02-23,158.589996,159.119995,157.699997,158.729996,155.855667,1124900
2017-02-24,158.339996,158.979996,157.580002,158.979996,156.101166,832800
2017-02-27,158.360001,159.289993,158.020004,158.479996,155.610214,1220200
2017-02-28,158.199997,159.250000,157.520004,157.679993,154.824707,1674200
2017-03-01,159.470001,160.889999,158.910004,159.820007,156.925949,1722600
2017-03-02,160.000000,160.000000,158.979996,159.199997,156.317200,1414300
2017-03-03,158.720001,160.419998,158.660004,160.160004,157.259796,1204000
2017-03-06,158.710007,159.289993,157.550003,157.710007,154.854172,1413400
2017-03-07,156.990005,157.940002,156.589996,157.259995,154.412292,1166700
2017-03-08,157.389999,157.960007,156.639999,157.500000,154.647949,1105400
2017-03-09,157.720001,158.240005,157.080002,157.779999,154.922928,1102500
2017-03-10,158.179993,159.470001,158.149994,159.330002,156.444824,1206300
2017-03-13,159.309998,159.309998,157.660004,159.039993,156.307220,1324300
2017-03-14,158.490005,158.699997,157.960007,158.339996,155.619278,1036500
2017-03-15,158.589996,161.660004,158.360001,161.050003,158.282730,2548200
2017-03-16,158.029999,159.500000,156.850006,158.020004,155.304733,3208700
2017-03-17,158.539993,159.089996,156.380005,157.889999,155.177017,2654100
2017-03-20,158.139999,158.399994,156.360001,156.740005,154.046753,1280600
2017-03-21,157.470001,157.699997,154.360001,155.539993,152.867355,1593400
2017-03-22,155.789993,156.500000,154.330002,155.330002,152.660980,1309600
2017-03-23,155.300003,155.949997,154.020004,154.649994,151.992661,1643400
2017-03-24,154.429993,155.669998,153.690002,154.039993,151.393127,1939000
2017-03-27,153.440002,155.350006,152.610001,154.589996,151.933701,1418600
2017-03-28,154.639999,155.380005,153.539993,154.639999,151.982849,1113900
2017-03-29,154.350006,154.589996,152.940002,153.979996,151.334137,1075000
2017-03-30,154.100006,154.710007,153.449997,153.910004,151.265396,1054200
2017-03-31,153.389999,154.149994,153.220001,153.600006,150.960739,1219100
2017-04-03,153.600006,155.210007,153.500000,154.580002,151.923874,2084800
2017-04-04,154.470001,154.960007,152.509995,152.720001,150.095810,2701200
2017-04-05,153.270004,154.089996,152.630005,152.759995,150.135162,2013000
2017-04-06,152.779999,153.520004,152.199997,152.949997,150.321884,2431000
2017-04-07,153.070007,153.710007,152.570007,153.110001,150.479141,1323700
2017-04-10,153.220001,154.759995,153.220001,153.449997,150.813278,1019600
2017-04-11,152.889999,153.690002,151.910004,152.869995,150.243240,986000
2017-04-12,152.860001,152.949997,151.740005,152.460007,149.840286,1253700
2017-04-13,151.940002,152.960007,151.770004,152.179993,149.565140,934600
2017-04-17,152.770004,153.919998,152.330002,153.699997,151.059006,1274500
2017-04-18,153.039993,153.880005,152.300003,153.270004,150.636368,886600
2017-04-19,153.970001,154.660004,152.919998,154.460007,151.805954,1291100
2017-04-20,154.770004,155.860001,153.820007,155.360001,152.690414,1592700
2017-04-21,155.270004,155.830002,154.589996,155.039993,152.375931,1992300
2017-04-24,156.529999,157.639999,156.029999,157.339996,154.636444,1198300
2017-04-25,158.429993,159.429993,158.119995,158.809998,156.081192,2171300
2017-04-26,162.130005,168.119995,160.990005,168.009995,165.123108,4182900
2017-04-27,168.679993,168.759995,166.000000,166.699997,163.835617,2287900
2017-04-28,166.529999,166.600006,164.770004,165.330002,162.489197,1507000
2017-05-01,166.369995,167.539993,166.020004,166.619995,163.756989,1431200
2017-05-02,166.600006,167.500000,165.750000,167.250000,164.376160,1561700
2017-05-03,167.250000,168.610001,166.910004,168.320007,165.427780,1785200
2017-05-04,168.360001,170.240005,168.110001,170.119995,167.196854,1247400
2017-05-05,170.080002,171.149994,169.639999,171.059998,168.120636,1681300
2017-05-08,171.429993,171.669998,169.789993,170.389999,167.462204,3636100
2017-05-09,171.669998,173.210007,171.000000,172.119995,169.162415,1806500
2017-05-10,170.940002,172.669998,170.199997,170.970001,168.032211,1860100
2017-05-11,169.880005,171.070007,169.460007,171.009995,168.071518,1126900
2017-05-12,170.699997,172.059998,170.410004,171.520004,168.572784,1107400
2017-05-15,171.500000,173.529999,171.380005,172.259995,169.300079,2280300
2017-05-16,172.339996,172.759995,171.779999,172.270004,169.309921,1482300
2017-05-17,172.270004,173.000000,170.839996,170.970001,168.032211,1368000
2017-05-18,171.029999,173.259995,170.869995,171.740005,168.789017,1553200
2017-05-19,172.119995,172.699997,171.229996,171.529999,168.582626,1130900
2017-05-22,171.350006,172.380005,170.800003,172.100006,169.142853,1044400
2017-05-23,173.389999,173.639999,171.750000,171.830002,168.877457,1078700
2017-05-24,171.809998,172.440002,171.279999,172.330002,169.368896,827900
2017-05-25,172.470001,173.070007,171.960007,172.899994,169.929108,764200
2017-05-26,173.309998,173.559998,172.880005,173.419998,170.440140,683300
2017-05-30,173.169998,173.580002,172.419998,173.250000,170.273071,1114200
2017-05-31,173.779999,174.380005,172.779999,172.789993,169.820984,1836500
2017-06-01,172.789993,174.820007,172.330002,174.820007,171.816101,1014500
2017-06-02,175.000000,176.389999,174.169998,176.389999,173.359131,1074500
2017-06-05,176.259995,176.850006,175.309998,176.440002,173.408310,874300
2017-06-06,176.000000,176.580002,175.740005,176.070007,173.044617,1443000
2017-06-07,176.089996,176.509995,175.520004,176.339996,173.309967,897800
2017-06-08,176.339996,176.360001,173.850006,174.809998,171.806259,2016400
2017-06-09,175.300003,175.970001,174.070007,174.929993,171.924179,1238400
2017-06-12,174.990005,175.190002,172.039993,173.380005,170.400864,1695200
2017-06-13,173.520004,175.100006,173.330002,174.929993,172.073059,912100
2017-06-14,175.339996,175.339996,173.779999,174.570007,171.718933,1337300
2017-06-15,173.820007,174.240005,172.580002,174.130005,171.286148,1150400
2017-06-16,174.559998,175.309998,174.000000,174.860001,172.004181,1944700
2017-06-19,175.619995,176.710007,175.089996,176.250000,173.371536,1154800
2017-06-20,176.039993,176.919998,175.259995,175.669998,172.801025,1299600
2017-06-21,176.490005,176.880005,175.089996,175.600006,172.732117,1348000
2017-06-22,176.029999,176.369995,174.300003,175.470001,172.604263,964500
2017-06-23,175.750000,175.750000,173.199997,174.440002,171.591064,1633700
2017-06-26,174.990005,175.000000,172.940002,173.229996,170.400848,1297100
2017-06-27,172.970001,174.300003,172.130005,173.699997,170.863129,1207800
2017-06-28,174.619995,176.270004,173.770004,175.770004,172.899368,1009900
2017-06-29,175.600006,176.100006,173.199997,173.889999,171.050064,1252100
2017-06-30,174.419998,175.210007,173.979996,174.470001,171.620544,819700
2017-07-03,175.330002,176.199997,174.410004,174.410004,171.561554,612300
2017-07-05,174.600006,176.440002,174.229996,175.740005,172.869858,1186800
2017-07-06,174.779999,175.789993,174.289993,175.039993,172.181274,2290600
2017-07-07,175.800003,177.990005,175.399994,177.490005,174.591293,1345700
2017-07-10,177.800003,178.289993,176.740005,177.669998,174.768295,1492500
2017-07-11,177.649994,179.139999,176.889999,178.639999,175.722473,2127100
2017-07-12,179.210007,180.720001,179.059998,180.199997,177.257004,1101600
2017-07-13,180.570007,180.699997,179.309998,180.029999,177.089767,927400
2017-07-14,179.860001,181.270004,179.369995,180.949997,177.994751,871900
2017-07-17,181.080002,182.399994,180.240005,180.789993,177.837341,1297300
2017-07-18,180.600006,180.960007,178.850006,179.350006,176.420929,1433300
2017-07-19,180.059998,180.639999,179.250000,180.149994,177.207840,932300
2017-07-20,181.110001,182.770004,181.110001,181.550003,178.584946,1109800
2017-07-21,181.289993,182.860001,181.059998,182.179993,179.204636,786800
2017-07-24,182.139999,182.869995,181.610001,182.160004,179.184967,805600
2017-07-25,181.770004,182.279999,179.500000,180.130005,177.188171,1440700
2017-07-26,175.169998,176.740005,170.179993,175.059998,172.200928,3944000
2017-07-27,175.850006,177.000000,174.330002,175.270004,172.407532,2479100
2017-07-28,175.300003,176.500000,173.529999,175.970001,173.096115,1326900
2017-07-31,176.610001,177.050003,175.300003,175.529999,172.663284,1266500
2017-08-01,176.160004,176.500000,175.119995,175.470001,172.604263,1382400
2017-08-02,175.869995,176.589996,175.509995,176.440002,173.558456,1370000
2017-08-03,176.000000,176.220001,174.880005,175.740005,172.869858,933100
2017-08-04,175.929993,176.910004,175.160004,176.330002,173.450241,752100
2017-08-07,176.350006,177.429993,175.679993,177.350006,174.453522,791800
2017-08-08,176.509995,176.850006,173.929993,173.990005,171.148422,1648700
2017-08-09,170.259995,174.009995,170.259995,173.259995,170.430344,4284600
2017-08-10,171.929993,173.389999,171.309998,171.740005,168.935165,2266700
2017-08-11,171.639999,174.100006,170.070007,173.229996,170.400848,2202600
2017-08-14,174.949997,175.250000,173.720001,174.029999,171.187790,1182400
2017-08-15,174.750000,175.259995,173.360001,173.559998,170.725494,992500
2017-08-16,173.949997,176.000000,173.839996,175.440002,172.574738,1268500
2017-08-17,175.199997,175.720001,172.869995,172.889999,170.066376,1159800
2017-08-18,172.559998,174.360001,172.149994,172.570007,169.751602,1182700
2017-08-21,172.789993,174.139999,172.509995,174.009995,171.168137,1184900
2017-08-22,174.550003,176.860001,174.160004,176.789993,173.902695,1271600
2017-08-23,176.309998,177.279999,175.160004,175.809998,172.938721,2168700
2017-08-24,175.820007,176.639999,175.539993,175.960007,173.086227,1177000
2017-08-25,176.539993,178.600006,176.460007,177.220001,174.325684,1537700
2017-08-28,177.800003,178.740005,177.229996,178.429993,175.515884,1462200
2017-08-29,177.690002,180.679993,177.289993,180.520004,177.571762,1549500
2017-08-30,180.970001,183.320007,180.429993,182.949997,179.962082,1445300
2017-08-31,183.490005,187.539993,182.960007,187.139999,184.083710,2035500
2017-09-01,188.220001,188.759995,185.419998,186.000000,182.962234,1404800
2017-09-05,185.869995,186.500000,184.880005,186.020004,182.982010,1190400
2017-09-06,187.389999,189.490005,187.029999,189.410004,186.316574,1516600
2017-09-07,190.000000,190.949997,188.850006,190.589996,187.477310,1619100
2017-09-08,190.589996,192.279999,189.779999,191.630005,188.500366,1545800
2017-09-11,192.220001,193.669998,192.070007,193.570007,190.408676,1521000
2017-09-12,194.020004,194.300003,192.600006,194.039993,190.871002,1000900
2017-09-13,193.649994,193.880005,191.100006,191.470001,188.342957,1302100
2017-09-14,191.820007,192.000000,189.639999,191.690002,188.707153,1287300
2017-09-15,190.759995,192.830002,190.580002,190.630005,187.663666,3274900
2017-09-18,191.149994,191.979996,190.779999,191.860001,188.874496,1750700
2017-09-19,192.039993,192.279999,189.300003,189.619995,186.669342,1215500
2017-09-20,189.529999,190.169998,187.419998,188.600006,185.665283,1194400
2017-09-21,187.899994,189.270004,187.699997,187.910004,184.985992,921600
2017-09-22,188.130005,189.110001,187.309998,188.300003,185.369965,912200
2017-09-25,188.720001,189.110001,185.979996,187.320007,184.405182,1916100
2017-09-26,189.309998,189.850006,187.570007,187.669998,184.749741,1384200
2017-09-27,188.250000,189.110001,187.250000,188.470001,185.537323,1410200
2017-09-28,187.789993,188.440002,186.050003,186.449997,183.548721,1002200
2017-09-29,186.710007,189.570007,186.350006,189.199997,186.255920,1703200
2017-10-02,189.809998,191.539993,189.229996,191.539993,188.559540,1414300
2017-10-03,191.539993,192.300003,189.539993,190.330002,187.368362,1023100
2017-10-04,190.710007,193.509995,190.710007,193.509995,190.498825,1114400
2017-10-05,193.360001,193.470001,191.940002,193.429993,190.420074,1021800
2017-10-06,193.380005,194.119995,191.940002,193.210007,190.203506,974900
2017-10-09,193.399994,193.979996,192.369995,193.259995,190.252731,593500
2017-10-10,193.669998,193.850006,191.509995,192.639999,189.642410,894900
2017-10-11,192.600006,193.520004,192.360001,193.460007,190.449661,762900
2017-10-12,193.500000,193.669998,192.899994,193.389999,190.380737,876500
2017-10-13,193.679993,194.119995,191.910004,192.419998,189.425797,852100
2017-10-16,192.789993,193.389999,190.759995,191.279999,188.303574,1244100
